State_Code,State,FTO generated,Total transection
1,ANDAMAN & NICOBAR ISLAND,209,658
2,ANDHRA PRADESH,146909,13610309
3,ARUNANCHAL PRADESH,3224,164779
4,ASSAM,58283,3542979
5,BIHAR,422030,5208968
6,CHHATTISGARH,82356,4652540
7,GOA,1057,8168
8,GUJARAT,77615,2594425
9,HARYANA,9721,174581
10,HIMACHAL PRADESH,14895,719532
11,JAMMU & KASHMIR,32886,251959
12,JHARKHAND,110670,5303116
13,KARNATAKA,257112,6497307
14,KERALA,295306,3985671
16,MADHYA PRADESH,174148,13845846
17,MAHARASHTRA,93329,5452897
18,MANIPUR,9680,482763
19,MEGHALAYA,6534,233025
20,MIZORAM,3046,618046
21,NAGALAND,9494,522890
22,ODISHA,324487,9099113
23,PUDUCHERRY,1447,50509
24,PUNJAB,24798,1472561
25,RAJASTHAN,132667,12432479
26,SIKKIM,2334,65525
27,TAMIL NADU,848773,18146533
28,TELANGANA,135689,9896552
29,TRIPURA,49219,685100
30,UTTAR PRADESH,813029,10567348
31,UTTARAKHAND,35677,524434
32,WEST BENGAL,99994,0
33,DAMAN & DIU,0,0
34,LAKSHADWEEP,0,0
